,name_model,Random Forest,MPL,SVC,GaussNB,Decision Tree,Bias Classifier
0,Random Forest,-,0.0114,0.0,0.0019,0.3225,0.0
1,MPL,0.0114,-,0.0,0.3271,0.1056,0.0
2,SVC,0.0,0.0,-,0.0,0.0,0.0
3,GaussNB,0.0019,0.3271,0.0,-,0.0468,0.0
4,Decision Tree,0.3225,0.1056,0.0,0.0468,-,0.0
5,Bias Classifier,0.0,0.0,0.0,0.0,0.0,-
