,params,mean_test_f1,mean_test_recall,mean_test_precision
0,"{'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l1'}",0.0,0.0,0.0
1,"{'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.3864,0.5833,0.3138
2,"{'loss': 'hinge', 'multi_class': 'crammer_singer', 'penalty': 'l1'}",0.3169,0.2212,0.8
3,"{'loss': 'hinge', 'multi_class': 'crammer_singer', 'penalty': 'l2'}",0.1399,0.1,0.29
4,"{'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l1'}",0.0,0.0,0.0
5,"{'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.2805,0.45,0.2057
6,"{'loss': 'squared_hinge', 'multi_class': 'crammer_singer', 'penalty': 'l1'}",0.2458,0.1682,0.7167
7,"{'loss': 'squared_hinge', 'multi_class': 'crammer_singer', 'penalty': 'l2'}",0.2498,0.1864,0.6
