,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
74,SyntacticScopeCreatorTest,9,0,64,0,8,0,0,1,4,17.222,14,1.733
75,ClosureCodeRemovalTest,11,1,20,0,1,0,0,1,1,22.818,10,1.182
76,PhaseOptimizerTest,21,4,122,0,14,1,0,2,1,13.333,10,0.16
77,SanityCheckTest,6,1,35,0,11,0,0,1,1,17.333,6,0.212
78,CheckSideEffectsTest,10,2,48,0,18,0,0,1,0,13.0,0,0.0
79,ExpandJqueryAliasesTest,4,4,26,0,12,0,0,1,1,23.5,4,0.292
80,ProcessTweaksTest,38,2,97,0,6,1,0,1,1,22.368,6,0.106
81,CommandLineRunnerTest,126,12,599,0,21,4,1,2,5,20.214,33,0.23
82,ClosureRewriteClassTest,16,0,41,0,8,0,0,1,1,12.625,10,0.387
83,AstParallelizerTest,10,1,52,0,11,2,0,0,2,21.6,26,1.31
84,FixedPointGraphTraversalTest,10,5,78,0,18,0,0,1,1,9.6,9,0.126
85,InlineVariablesConstantsTest,12,1,45,0,11,0,0,1,1,29.917,17,0.541
86,VariableMapTest,9,0,104,0,8,2,0,0,1,14.111,4,0.216
87,BasicErrorManagerTest,12,5,63,0,2,0,0,1,1,17.667,3,0.467
88,CollapseVariableDeclarationsTest,7,0,25,0,6,0,0,1,1,19.143,5,0.45
89,InlineVariablesTest,137,2,327,0,10,0,0,1,1,23.672,20,0.122
90,RemoveTryCatchTest,9,0,20,0,3,0,0,1,0,21.778,0,0.0
91,SourceMapTest,9,1,19,0,4,1,0,1,1,18.222,6,0.348
92,InlinePropertiesTest,14,1,26,0,1,0,0,1,1,21.643,6,0.5
93,SymbolTableTest,58,2,701,0,13,2,0,2,3,23.431,15,0.143
94,ExploitAssignsTest,9,0,67,0,30,0,0,1,1,19.444,17,0.317
95,AliasKeywordsTest,13,4,87,0,11,1,0,1,4,17.923,31,1.138
96,CheckMissingReturnTest,13,0,67,0,16,0,0,1,3,15.538,6,0.4
97,NameAnonymousFunctionsMappedTest,19,3,63,0,6,1,0,1,1,23.0,5,0.191
98,CheckRequiresForConstructorsTest,25,0,56,0,10,2,0,1,1,31.04,4,0.222
99,GlobalVarReferenceMapTest,6,22,131,0,20,3,0,0,5,38.167,12,0.725
100,TypeCheckTest,1178,1,2914,0,19,4,0,1,14,19.464,28,0.19
101,CheckProvidesTest,11,0,21,0,2,0,0,1,1,26.818,4,0.667
102,CoalesceVariableNamesTest,34,1,101,0,13,1,0,1,1,15.471,5,0.115
103,ExportTestFunctionsTest,7,2,24,0,7,0,0,1,2,22.714,27,2.136
104,ProcessCommonJSModulesTest,10,0,71,0,10,2,0,1,1,14.6,5,0.211
105,IntegrationTestCase,15,4,77,0,11,3,0,1,7,8.0,16,2.373
106,LooseTypeCheckTest,805,0,2137,0,19,4,0,1,14,19.33,31,0.3
107,InlineCostEstimatorTest,5,0,28,0,13,0,0,1,1,6.8,11,0.65
108,MakeDeclaredNamesUniqueTest,21,4,79,0,12,2,0,2,1,22.429,6,0.073
109,PeepholeSimplifyRegExpTest,16,0,170,0,41,0,0,1,0,19.812,0,0.0
110,ReplaceStringsTest,35,4,86,0,7,1,0,1,1,18.057,4,0.14
111,ReplaceIdGeneratorsTest,22,3,53,0,4,0,0,1,1,17.773,4,0.174
112,ConstCheckTest,31,0,59,0,1,0,0,1,1,27.387,3,0.226
113,ShadowVariablesTest,23,1,49,0,4,0,0,1,2,20.435,13,0.553
114,NodeIteratorsTest,19,0,64,0,15,4,0,0,3,20.263,26,1.361
115,GenerateExportsTest,14,1,23,0,2,0,0,1,3,17.714,10,2.4
116,CheckSuspiciousCodeTest,9,0,59,0,19,0,0,1,1,13.778,3,0.109
117,GlobalNamespaceTest,3,0,35,0,9,0,0,1,1,20.333,10,0.684
118,CompilerTestCase,59,17,231,0,107,27,1,2,53,11.559,105,9.294
119,SimpleDefinitionFinderTest,16,1,98,0,9,0,0,1,1,18.625,4,0.16
120,CrossModuleMethodMotionTest,26,3,78,0,5,0,0,1,1,22.077,10,0.382
121,GoogleCodingConventionTest,19,1,128,0,15,0,0,1,1,22.737,5,0.145
122,IgnoreCajaPropertiesTest,8,1,17,0,3,0,0,1,1,13.875,3,0.583
123,CompilerTest,8,0,103,0,9,0,0,1,1,26.875,6,0.159
124,LightweightMessageFormatterTest,16,1,55,0,3,0,1,2,0,18.875,0,0.0
125,ObjectPropertyStringPostprocessTest,6,0,7,0,1,0,0,1,1,12.833,4,1.333
126,MustBeReachingVariableDefTest,23,4,94,0,10,0,0,0,4,20.261,14,0.758
127,AmbiguatePropertiesTest,43,2,105,0,10,1,0,1,1,21.488,6,0.147
128,PeepholeFoldWithTypesTest,10,0,24,0,3,0,0,1,1,21.7,10,0.812
129,ReplaceMessagesForChromeTest,9,1,14,0,2,0,0,1,1,23.444,7,1.0
130,ChainCallsTest,8,0,14,0,2,0,0,1,1,20.0,4,0.8
131,MinimizeExitPointsTest,12,0,99,0,20,0,0,1,1,18.667,6,0.074
132,CrossModuleCodeMotionTest,42,1,142,0,7,0,0,1,1,18.238,4,0.14
133,TightenTypesTest,57,1,396,0,10,0,0,1,10,18.053,15,0.754
134,SourceInformationAnnotatorTest,2,0,8,0,4,0,0,1,1,18.5,6,1.167
135,InlineSimpleMethodsTest,38,0,78,0,3,0,0,1,1,20.816,20,0.478
136,CheckAccessControlsTest,89,0,181,0,3,0,0,1,2,29.393,91,1.221
137,PrepareAstTest,4,0,43,0,5,0,0,1,1,15.0,9,0.917
138,ExternExportsPassTest,27,1,70,0,9,1,0,1,6,27.148,48,4.545
139,CollapsePropertiesTest,231,3,474,0,4,0,0,1,1,30.58,4,0.033
140,PeepholeOptimizationsPassTest,10,1,46,0,15,2,0,2,3,24.6,24,1.486
141,PeepholeCollectPropertyAssignmentsTest,35,0,37,0,4,0,0,1,0,25.257,0,0.0
142,VariableReferenceCheckTest,33,2,66,0,5,1,0,1,5,20.485,14,1.164
