,params,mean_test_f1,mean_test_recall,mean_test_precision
0,"{'priors': None, 'var_smoothing': 1e-09}",0.4104,0.3061,0.6915
1,"{'priors': None, 'var_smoothing': 1e-08}",0.4104,0.3061,0.6915
2,"{'priors': None, 'var_smoothing': 1e-07}",0.4104,0.3061,0.6915
3,"{'priors': {0: 0.7295373665480427, 1: 0.2704626334519573}, 'var_smoothing': 1e-09}",0.0,0.0,0.0
4,"{'priors': {0: 0.7295373665480427, 1: 0.2704626334519573}, 'var_smoothing': 1e-08}",0.0,0.0,0.0
5,"{'priors': {0: 0.7295373665480427, 1: 0.2704626334519573}, 'var_smoothing': 1e-07}",0.0,0.0,0.0
