,params,mean_test_f1,mean_test_recall,mean_test_precision
3812,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 4, 'splitter': 'best'}",0.28791208791208794,0.25384615384615383,0.3406898656898657
3813,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 4, 'splitter': 'random'}",0.3196662274923145,0.265934065934066,0.4621489621489621
3814,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 5, 'splitter': 'best'}",0.29605579605579607,0.25384615384615383,0.3617909867909868
3815,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 5, 'splitter': 'random'}",0.31556692242114237,0.25054945054945055,0.54
3816,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 6, 'splitter': 'best'}",0.31090391090391095,0.2681318681318681,0.3822954822954823
3817,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 6, 'splitter': 'random'}",0.2987881468376824,0.2230769230769231,0.5489177489177489
3818,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 7, 'splitter': 'best'}",0.3437417654808959,0.2824175824175824,0.44430014430014425
3819,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 7, 'splitter': 'random'}",0.2872727272727273,0.2197802197802198,0.4198412698412698
3820,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 8, 'splitter': 'best'}",0.31558441558441563,0.25384615384615383,0.42525252525252527
3821,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 8, 'splitter': 'random'}",0.27452749520860975,0.1945054945054945,0.47904761904761906
